pair,time,Treatment,rawseeds
1,1,Baited,28
1,1,Control,7
2,1,Baited,54
2,1,Control,3
3,1,Baited,197
3,1,Control,10
4,1,Baited,327
4,1,Control,19
5,1,Baited,86
5,1,Control,7
1,2,Baited,197
1,2,Control,10
2,2,Baited,6
2,2,Control,15
3,2,Baited,81
3,2,Control,96
4,2,Baited,1851
4,2,Control,34
5,2,Baited,151
5,2,Control,5
